X,Y,Z,lith
2887.5,0.8333333,560.654,3.0
2887.5,0.8333333,585.7595,3.0
2887.5,0.8333333,610.865,3.0
2887.5,0.8333333,635.97046,3.0
2887.5,0.8333333,661.0759,3.0
2887.5,0.8333333,686.18146,3.0
2887.5,0.8333333,711.2869,3.0
2887.5,66.94444,535.5485,3.0
2887.5,66.94444,560.654,3.0
2887.5,66.94444,585.7595,3.0
2887.5,66.94444,610.865,3.0
2887.5,66.94444,635.97046,3.0
2887.5,66.94444,661.0759,3.0
2887.5,66.94444,686.18146,3.0
2887.5,66.94444,711.2869,3.0
2887.5,133.05556,535.5485,3.0
2887.5,133.05556,560.654,3.0
2887.5,133.05556,585.7595,3.0
2887.5,133.05556,610.865,3.0
2887.5,133.05556,635.97046,3.0
2887.5,133.05556,661.0759,3.0
2887.5,133.05556,686.18146,3.0
2887.5,133.05556,711.2869,3.0
2887.5,199.16667,535.5485,3.0
2887.5,199.16667,560.654,3.0
2887.5,199.16667,585.7595,3.0
2887.5,199.16667,610.865,3.0
2887.5,199.16667,635.97046,3.0
2887.5,199.16667,661.0759,3.0
2887.5,199.16667,686.18146,3.0
2887.5,199.16667,711.2869,3.0
2912.5,0.8333333,535.5485,3.0
2912.5,0.8333333,560.654,3.0
2912.5,0.8333333,585.7595,3.0
2912.5,0.8333333,610.865,3.0
2912.5,0.8333333,635.97046,3.0
2912.5,0.8333333,661.0759,3.0
2912.5,0.8333333,686.18146,3.0
2912.5,66.94444,535.5485,3.0
2912.5,66.94444,560.654,3.0
2912.5,66.94444,585.7595,3.0
2912.5,66.94444,610.865,3.0
2912.5,66.94444,635.97046,3.0
2912.5,66.94444,661.0759,3.0
2912.5,66.94444,686.18146,3.0
2912.5,66.94444,711.2869,3.0
2912.5,133.05556,535.5485,3.0
2912.5,133.05556,560.654,3.0
2912.5,133.05556,585.7595,3.0
2912.5,133.05556,610.865,3.0
2912.5,133.05556,635.97046,3.0
2912.5,133.05556,661.0759,3.0
2912.5,133.05556,686.18146,3.0
2912.5,133.05556,711.2869,3.0
2912.5,199.16667,535.5485,3.0
2912.5,199.16667,560.654,3.0
2912.5,199.16667,585.7595,3.0
2912.5,199.16667,610.865,3.0
2912.5,199.16667,635.97046,3.0
2912.5,199.16667,661.0759,3.0
2912.5,199.16667,686.18146,3.0
2912.5,199.16667,711.2869,3.0
2937.5,0.8333333,510.44302,3.0
2937.5,0.8333333,535.5485,3.0
2937.5,0.8333333,560.654,3.0
2937.5,0.8333333,585.7595,3.0
2937.5,0.8333333,610.865,3.0
2937.5,0.8333333,635.97046,3.0
2937.5,0.8333333,661.0759,3.0
2937.5,0.8333333,686.18146,3.0
2937.5,66.94444,510.44302,3.0
2937.5,66.94444,535.5485,3.0
2937.5,66.94444,560.654,3.0
2937.5,66.94444,585.7595,3.0
2937.5,66.94444,610.865,3.0
2937.5,66.94444,635.97046,3.0
2937.5,66.94444,661.0759,3.0
2937.5,66.94444,686.18146,3.0
2937.5,133.05556,510.44302,3.0
2937.5,133.05556,535.5485,3.0
2937.5,133.05556,560.654,3.0
2937.5,133.05556,585.7595,3.0
2937.5,133.05556,610.865,3.0
2937.5,133.05556,635.97046,3.0
2937.5,133.05556,661.0759,3.0
2937.5,133.05556,686.18146,3.0
2937.5,199.16667,510.44302,3.0
2937.5,199.16667,535.5485,3.0
2937.5,199.16667,560.654,3.0
2937.5,199.16667,585.7595,3.0
2937.5,199.16667,610.865,3.0
2937.5,199.16667,635.97046,3.0
2937.5,199.16667,661.0759,3.0
2937.5,199.16667,686.18146,3.0
2962.5,0.8333333,510.44302,3.0
2962.5,0.8333333,535.5485,3.0
2962.5,0.8333333,560.654,3.0
2962.5,0.8333333,585.7595,3.0
2962.5,0.8333333,610.865,3.0
2962.5,0.8333333,635.97046,3.0
2962.5,0.8333333,661.0759,3.0
2962.5,0.8333333,686.18146,3.0
2962.5,66.94444,510.44302,3.0
2962.5,66.94444,535.5485,3.0
2962.5,66.94444,560.654,3.0
2962.5,66.94444,585.7595,3.0
2962.5,66.94444,610.865,3.0
2962.5,66.94444,635.97046,3.0
2962.5,66.94444,661.0759,3.0
2962.5,66.94444,686.18146,3.0
2962.5,133.05556,510.44302,3.0
2962.5,133.05556,535.5485,3.0
2962.5,133.05556,560.654,3.0
2962.5,133.05556,585.7595,3.0
2962.5,133.05556,610.865,3.0
2962.5,133.05556,635.97046,3.0
2962.5,133.05556,661.0759,3.0
2962.5,133.05556,686.18146,3.0
2962.5,199.16667,510.44302,3.0
2962.5,199.16667,535.5485,3.0
2962.5,199.16667,560.654,3.0
2962.5,199.16667,585.7595,3.0
2962.5,199.16667,610.865,3.0
2962.5,199.16667,635.97046,3.0
2962.5,199.16667,661.0759,3.0
2962.5,199.16667,686.18146,3.0
2987.5,0.8333333,485.33755,3.0
2987.5,0.8333333,510.44302,3.0
2987.5,0.8333333,535.5485,3.0
2987.5,0.8333333,560.654,3.0
2987.5,0.8333333,585.7595,3.0
2987.5,0.8333333,610.865,3.0
2987.5,0.8333333,635.97046,3.0
2987.5,0.8333333,661.0759,3.0
2987.5,66.94444,485.33755,3.0
2987.5,66.94444,510.44302,3.0
2987.5,66.94444,535.5485,3.0
2987.5,66.94444,560.654,3.0
2987.5,66.94444,585.7595,3.0
2987.5,66.94444,610.865,3.0
2987.5,66.94444,635.97046,3.0
2987.5,66.94444,661.0759,3.0
2987.5,133.05556,485.33755,3.0
2987.5,133.05556,510.44302,3.0
2987.5,133.05556,535.5485,3.0
2987.5,133.05556,560.654,3.0
2987.5,133.05556,585.7595,3.0
2987.5,133.05556,610.865,3.0
2987.5,133.05556,635.97046,3.0
2987.5,133.05556,661.0759,3.0
2987.5,199.16667,510.44302,3.0
2987.5,199.16667,535.5485,3.0
2987.5,199.16667,560.654,3.0
2987.5,199.16667,585.7595,3.0
2987.5,199.16667,610.865,3.0
2987.5,199.16667,635.97046,3.0
2987.5,199.16667,661.0759,3.0
